"ID","category","rt","response","sound1","sound2"
"1001","CarHorn",4168.67499996442,4,"01","02"
"1001","CarHorn",2726.76500002854,4,"03","09"
"1001","CarHorn",4207.25500001572,2,"02","04"
"1001","CarHorn",3567.45999999112,3,"09","05"
"1001","CarHorn",650.484999991022,3,"06","10"
"1001","CarHorn",1227.42499999003,2,"10","02"
"1001","CarHorn",1198.9000000176,4,"03","04"
"1001","CarHorn",1114.92500000168,4,"09","10"
"1001","CarHorn",1331.60999999382,5,"04","07"
"1001","CarHorn",971.484999987297,3,"08","10"
"1001","CarHorn",1445.17999998061,5,"04","03"
"1001","CarHorn",783.670000033453,3,"04","05"
"1001","CarHorn",2005.76999998884,4,"07","09"
"1001","CarHorn",786.034999997355,8,"05","05"
"1001","CarHorn",2512.22000003327,4,"07","06"
"1001","CarHorn",2999.61500003701,3,"08","04"
"1001","CarHorn",991.450000030454,5,"02","09"
"1001","CarHorn",885.774999973364,5,"06","09"
"1001","CarHorn",899.00499995565,3,"03","06"
"1001","CarHorn",1432.28000000818,2,"01","05"
"1001","CarHorn",1006.64500001585,6,"01","03"
"1001","CarHorn",1548.19500003941,4,"10","07"
"1001","CarHorn",1250.71499997284,2,"05","08"
"1001","CarHorn",2762.84999999916,1,"08","01"
"1001","CarHorn",1155.87499999674,3,"05","09"
"1001","CarHorn",691.430000006221,3,"07","05"
"1001","CarHorn",1981.94000002695,4,"06","04"
"1001","CarHorn",1009.17999999365,1,"09","08"
"1001","CarHorn",842.020000040065,3,"01","06"
"1001","CarHorn",671.565000026021,2,"03","08"
"1001","CarHorn",2303.14999999246,5,"04","01"
"1001","CarHorn",504.53000003472,8,"10","10"
"1001","CarHorn",756.585000024643,6,"09","01"
"1001","CarHorn",650.509999948554,6,"02","03"
"1001","CarHorn",780.540000007022,2,"04","08"
"1001","CarHorn",1130.7299999753,3,"09","02"
"1001","CarHorn",3778.89499999583,2,"08","07"
"1001","CarHorn",848.98999996949,5,"07","04"
"1001","CarHorn",623.770000005607,4,"03","05"
"1001","CarHorn",978.289999999106,8,"07","07"
"1001","CarHorn",1055.37000001641,2,"08","09"
"1001","CarHorn",1007.44499999564,4,"05","04"
"1001","CarHorn",497.154999990016,3,"05","02"
"1001","CarHorn",429.650000005495,3,"06","02"
"1001","CarHorn",860.389999987092,3,"10","03"
"1001","CarHorn",712.640000041574,2,"07","08"
"1001","CarHorn",685.455000028014,5,"05","03"
"1001","CarHorn",1987.69999999786,6,"05","07"
"1001","CarHorn",588.229999993928,8,"01","01"
"1001","CarHorn",655.985000019427,3,"05","01"
"1001","CarHorn",1851.63500002818,3,"09","07"
"1001","CarHorn",1066.00499997148,2,"07","02"
"1001","CarHorn",1307.46999999974,2,"10","09"
"1001","CarHorn",895.350000006147,4,"04","02"
"1001","CarHorn",959.18000000529,8,"08","08"
"1001","CarHorn",1737.86499997368,3,"01","07"
"1001","CarHorn",423.914999992121,8,"02","02"
"1001","CarHorn",872.040000045672,1,"02","08"
"1001","CarHorn",893.770000024233,5,"04","10"
"1001","CarHorn",637.525000027381,3,"07","03"
"1001","CarHorn",874.160000006668,3,"03","07"
"1001","CarHorn",2815.39499998325,5,"06","03"
"1001","CarHorn",1489.11000002408,4,"08","03"
"1001","CarHorn",480.139999999665,5,"06","05"
"1001","CarHorn",494.789999967907,3,"05","10"
"1001","CarHorn",515.35000000149,8,"09","09"
"1001","CarHorn",936.649999988731,5,"02","10"
"1001","CarHorn",505.515000026207,3,"10","05"
"1001","CarHorn",732.684999995399,6,"02","01"
"1001","CarHorn",791.175000020303,3,"09","06"
"1001","CarHorn",1665.13999999734,3,"08","05"
"1001","CarHorn",1053.84499998763,6,"01","04"
"1001","CarHorn",433.625000005122,4,"02","05"
"1001","CarHorn",1052.07499995595,3,"10","01"
"1001","CarHorn",1257.30499997735,6,"09","04"
"1001","CarHorn",998.034999996889,4,"06","01"
"1001","CarHorn",450.109999976121,5,"04","09"
"1001","CarHorn",886.659999960102,3,"01","10"
"1001","CarHorn",2352.18499996699,2,"06","08"
"1001","CarHorn",1862.80499998247,4,"04","06"
"1001","CarHorn",1210.81999997841,2,"02","06"
"1001","CarHorn",844.784999964759,6,"03","01"
"1001","CarHorn",606.525000010151,5,"01","09"
"1001","CarHorn",1995.92000001576,6,"03","02"
"1001","CarHorn",2796.8450000044,3,"07","01"
"1001","CarHorn",1616.30999995396,8,"03","03"
"1001","CarHorn",1080.47000004444,3,"02","07"
"1001","CarHorn",709.580000024289,3,"05","06"
"1001","CarHorn",2004.53000003472,5,"10","06"
"1001","CarHorn",1755.37500000792,4,"03","10"
"1001","CarHorn",1001.28000002587,3,"09","03"
"1001","CarHorn",646.170000021812,5,"08","02"
"1001","CarHorn",415.485000004992,3,"08","06"
"1001","CarHorn",445.364999992307,2,"10","08"
"1001","CarHorn",452.705000003334,3,"01","08"
"1001","CarHorn",2033.30499998992,4,"06","07"
"1001","CarHorn",447.8100000415,8,"06","06"
"1001","CarHorn",2362.9999999539,3,"10","04"
"1001","CarHorn",738.674999971408,8,"04","04"
"1001","CarHorn",1006.5450000111,3,"07","10"
"1002","CarHorn",7939.61000000127,2,"07","09"
"1002","CarHorn",1189.65999997454,1,"07","02"
"1002","CarHorn",1934.53999998746,3,"10","07"
"1002","CarHorn",370.159999991301,1,"07","05"
"1002","CarHorn",970.785000012256,1,"08","01"
"1002","CarHorn",1700.72499994421,5,"03","01"
"1002","CarHorn",1790.42999999365,7,"03","03"
"1002","CarHorn",667.309999989811,2,"06","09"
"1002","CarHorn",3191.84500002302,3,"09","05"
"1002","CarHorn",542.675000033341,8,"05","05"
"1002","CarHorn",2472.73499995936,1,"04","06"
"1002","CarHorn",519.729999999981,1,"07","06"
"1002","CarHorn",3139.20000003418,2,"06","02"
"1002","CarHorn",451.899999985471,1,"04","08"
"1002","CarHorn",1289.82499998529,2,"10","09"
"1002","CarHorn",372.795000032056,1,"03","05"
"1002","CarHorn",1147.73999998579,2,"03","04"
"1002","CarHorn",2148.675000004,5,"07","04"
"1002","CarHorn",4656.26000001794,4,"06","08"
"1002","CarHorn",777.895000006538,1,"06","01"
"1002","CarHorn",3954.31999996072,3,"08","03"
"1002","CarHorn",2247.39500001306,2,"06","03"
"1002","CarHorn",2600.22000002209,6,"01","03"
"1002","CarHorn",790.689999994356,2,"01","07"
"1002","CarHorn",335.52000002237,2,"09","10"
"1002","CarHorn",882.440000015777,2,"04","03"
"1002","CarHorn",460.664999962319,1,"03","08"
"1002","CarHorn",305.510000034701,1,"03","10"
"1002","CarHorn",1043.14000002341,1,"02","06"
"1002","CarHorn",2230.37000000477,8,"08","08"
"1002","CarHorn",1990.08000001777,1,"05","06"
"1002","CarHorn",822.27000000421,4,"08","02"
"1002","CarHorn",27215.6449999893,3,"08","07"
"1002","CarHorn",409.235000028275,2,"10","05"
"1002","CarHorn",1348.33999996772,2,"02","04"
"1002","CarHorn",3007.99999997253,4,"09","03"
"1002","CarHorn",472.305000002962,3,"02","09"
"1002","CarHorn",532.544999965467,2,"05","10"
"1002","CarHorn",2461.35999995749,5,"01","09"
"1002","CarHorn",930.410000029951,2,"09","06"
"1002","CarHorn",1770.72999998927,4,"03","02"
"1002","CarHorn",3102.98500000499,3,"10","03"
"1002","CarHorn",369.370000029448,8,"02","02"
"1002","CarHorn",4131.84499996714,1,"04","05"
"1002","CarHorn",591.210000042338,1,"05","08"
"1002","CarHorn",413.390000001527,1,"01","08"
"1002","CarHorn",521.959999983665,1,"03","07"
"1002","CarHorn",128.179999999702,1,"04","01"
"1002","CarHorn",316.044999985024,1,"04","07"
"1002","CarHorn",2782.13499998674,5,"09","04"
"1002","CarHorn",445.865000016056,8,"04","04"
"1002","CarHorn",399.080000002868,1,"09","08"
"1002","CarHorn",591.895000019576,8,"01","01"
"1002","CarHorn",2330.81499999389,1,"08","10"
"1002","CarHorn",1412.30999998515,1,"09","07"
"1002","CarHorn",692.670000018552,8,"09","09"
"1002","CarHorn",3457.69000001019,4,"07","01"
"1002","CarHorn",837.830000033136,8,"07","07"
"1002","CarHorn",844.195000012405,1,"02","08"
"1002","CarHorn",887.21000001533,3,"05","09"
"1002","CarHorn",1205.42499999283,1,"10","04"
"1002","CarHorn",1588.51000003051,3,"02","05"
"1002","CarHorn",2016.90499996766,3,"05","01"
